Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,18,Not Provided,B,2,BIKE,,1,1,,16. Other,"Not Provided,Not Provided","Not Provided,Not Provided",,,,11/19/2014,11/19/2014,10. Other,1247,B.Visiible Injury,2014,,0,0,Virginia Beach,Urban,Other,MAIN,12PM TO 3PM,134.Virginia Beach,,Not Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"South,East",,5,1,143245040,75,Male,"PDO,B","1,2","1. No Improper Action,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,2. Partially Ejected","No,NotProvided","No,No","3. Lap and Shoulder Belt,6. Other","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"1,12",1,3. Three Approaches,,C,0,0,36.77786,36.77786,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.09762,-76.09762,MAINLINE,,,,,,,,"22,10",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",3400 MEDICAL PW,UNKWN,SC,U-VA134SC99999UK,,3. No,"0,10",,,,,,SENIOR,,"25,25","25,25",Not SPEED,"25,25",,,"2. No,2. No",,"0,0",12PM TO 3PM,1,1,14. Ped Crosswalk,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle","Subaru,UNK","3. Making Left Turn,15. Other","Impreza Wagon,BICYCLE",2000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Portland Cement Concrete,SR-00406(R)/TERMINAL BLVD(L)/,Not UNBELTED,15,Male,C,2,BIKE,33.23,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00337,33.717,3,7/29/2013,7/29/2013,19. Ped,1521,C.Non-Visible Injury,2013,Left and Right sides,1,1,Norfolk,Urban,19. Ped,MAIN,3PM TO 6PM,122.Norfolk,"1,917",Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"North,West",,5,1,133380157,21,Male,"PDO,C","1,2","1. No Improper Action,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,2. No","1. Not Ejected,Not Provided","No,No","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,Not Applicable",,,34,483648,SR-00406(R)/TERMINAL BLVD(L)/,0.53,1,"1.Divided, no control of access","22,0",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,9",1,3. Three Approaches,133380157,C,0,0,36.925791,36.925791,0,0.53,Not LRTRUCK,2. Daylight,LOCATED,-76.317194,-76.317194,MAINLINE,MAIN,0,0,Curbed Grass,26,4,Divided Roadway,"19,0",Not MOTORCYCLE,483647,483647.  SR00337       SR00337      12208610,24954,24072,23490,22111,21539,6,1,0.363,PRI_URBAN,,,,,,,,,0,179,66,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,33.5,33.72,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",8000 BLOCK HAMPTON BOULEVARD,STPRI,SR,R-VA   SR00337EB,"Urbanized (Population 200,000 and over)",3. No,"19,0",24810,23949,23366,21991,21407,Not SENIOR,Right side,"10,3","25,25",Not SPEED,"25,25",483648,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Truck Access System,"1,2","1. Passenger car,9. Bicycle",DODGE,"2. Making Right Turn,1. Going Straight Ahead","CHARGER,MOUNTAIN BIKE",2007,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Penetration Macadam and Water Bound Macadam,134-08817(L)/OLD DOMINION PKWY,Not UNBELTED,46,Not Provided,B,1,BIKE,1.7,1,1,,5. Sideswipe - Opposite Direction,"Not Provided,Not Provided","Not Provided,Not Provided",13400009,1.7,3,11/20/2014,11/20/2014,22. Bicycle,1456,B.Visiible Injury,2014,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,12PM TO 3PM,134.Virginia Beach,0,Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"South,North",,5,1,143245394,43,Male,"B,PDO","1,2","37. Other,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","6. Other,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,2,734946,CAMELOT DRIVE(R)/,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,1",1,1. Not at Intersection,143245394,C,0,0,36.86525,36.86525,0,0.11,Not LRTRUCK,2. Daylight,LOCATED,-76.02879,-76.02879,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"20,22",Not MOTORCYCLE,541256,541256. 13400009      13400009      13408817,39677,37941,38291,36901,38313,4,1,0,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,0,1.5,1.66,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",1000 BLOCK FIRST COLONIAL RD,URB,UR,R-VA134UR00009NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",36525,34557,34876,33610,35142,Not SENIOR,Left and Right sides,"5,15","45,45",Not SPEED,"45,45",541256,0,"1. Yes,2. No",0,"0,0",12PM TO 3PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car","N/A,Hyundai","1. Going Straight Ahead,1. Going Straight Ahead","BIKE,Elantra",20002003,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,ALCOHOL,Urban,1,1,Bituminous Concrete (Black Base),GUMWOOD DRIVE(B)/,Not UNBELTED,44,Male,A,1,BIKE,61.48,0,0,,13. Bicyclist,"Not Provided,Not Provided","Not Provided,Not Provided",US00258,61.782,4,11/22/2014,11/22/2014,20. Motor Vehicle In Transport,1338,A.Ambulatory Injury,2014,Left and Right sides,0,0,Hampton,Urban,20. Motor Vehicle In Transport,MAIN,12PM TO 3PM,114.Hampton,201,Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"South,East",,5,1,143440106,57,Female,"A,PDO","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,Not Applicable","Not Applicable,1. No Defects","Not Applicable,Not Applicable","5. Drinking - Not Known Whether Impaired,Not Applicable","3. Unknown,Not Applicable","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,62,253135,114-07025(B)/ABERDEEN RD,0,1,"1.Divided, no control of access","20,22",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"2,0",1,4. Four Approaches,143440106,C,0,0,37.03664,37.03664,0,0.34,Not LRTRUCK,2. Daylight,LOCATED,-76.40956,-76.40956,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"13,22",Not MOTORCYCLE,253135,253135.  US00258       US00258      11407025      11407025,69743,65278,62501,62639,64191,8,1,0.038,PRI_URBAN,,,,,,,,,0,150,102,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,11. Intersection Related - Outside 150 Feet,0,61.75,61.78,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",2401 W MERCURY BLVD,USPRI,US,R-VA   US00258EB,"Urbanized (Population 200,000 and over)",3. No,"29,0",56311,52167,47785,48306,49551,Not SENIOR,Left and Right sides,"3,10","45,45",Not SPEED,"45,45",744794,0,"1. Yes,2. No",0,"13,0",12PM TO 3PM,1,1,3. Traffic Signal,1. Yes - Working,Truck Access System,"1,2","9. Bicycle,3. Van","COLUMBIA,DODGE","15. Other,1. Going Straight Ahead","BICYCLE,CARAVAN",2006,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),IS-00264-W015A(R)/FROM RT 264,Not UNBELTED,32,Not Provided,C,2,BIKE,0.59,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00403,0.704,3,7/31/2013,7/31/2013,22. Bicycle,2050,C.Non-Visible Injury,2013,Left and Right sides,1,1,Norfolk,Urban,22. Bicycle,MAIN,6PM TO 9PM,122.Norfolk,602,Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"South,North",,5,1,133380283,,0,"PDO,C","1,2","34. Hit and Run,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","9. Unknown,1. No Defects","Not Applicable,Not Applicable","6. Unknown,1. Had Not Been Drinking","3. Unknown,2. No","1. Not Ejected,2. Partially Ejected","No,No","Yes,No","6. Other,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,1,483115,US-00058(B)/122-08678(R)/Gap Terminus/NEWTOWN,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,HIT_RUN,"11,12",1,4. Four Approaches,133380283,C,0,0,36.849755,36.849755,0,0.43,Not LRTRUCK,5. Darkness - Road Not Lighted,LOCATED,-76.179624,-76.179624,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"22,20",Not MOTORCYCLE,483809,483809.  IS00264W015A  SR00403       SR00403,37777,36497,36817,35604,36216,4,1,0.114,PRI_URBAN,,,,,,,,,0,0,48,0,1,,0,0,,,,,,,,,Not PED,,1,0,Norfolk,122,5,NOT-RD,9. Within Intersection,0,0.5,0.7,1. Straight - Level,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,"2. Blacktop, Asphalt, Bituminous",700 BLK N NEWTOWN RD,STPRI,SR,R-VA   SR00403SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",34142,32903,33207,32002,32648,Not SENIOR,Left and Right sides,"10,5","35,35",Not SPEED,"35,35",483809,0,"2. No,2. No",0,"0,0",6PM TO 9PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",,"2. Making Right Turn,1. Going Straight Ahead",10 SPD,,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,1,1,Dual Type,134-08723(B)/BIRDNECK RD,Not UNBELTED,17,Male,A,2,BIKE,2.9,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",C7US00058,3.034,4,8/1/2013,8/1/2013,22. Bicycle,2300,A.Ambulatory Injury,2013,Right side,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,9PM TO 12AM,134.Virginia Beach,"1,236",Intersection,Reset Filters,VDOT_OTHER,Thursday,Not DEER,"South,East",,5,1,132275338,42,0,"PDO,A","1,2","1. No Improper Action,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","2. Rain, Snow, etc. on Windshield,Not Applicable",,,3,541093,134-08723(B)/BIRDNECK RD,0.28,0,"0.Two-way, non-divided","22,22",4. Roadside,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,9",1,1. Not at Intersection,132275338,C,0,0,36.84226,36.84226,4,0.18,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-75.991659,-75.991659,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,22",Not MOTORCYCLE,541093,541093. 13408723      13408723     C7US00058     C7US00058,31884,31906,32201,31032,32535,4,1,0.234,PRI_URBAN,,,,,,,,,0,0,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,0,3,3.03,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",2. Wet,1. Concrete,971 VIRGINIA BEACH BLVD,USPRI,US,R-VA   US00058WBBUS007,"Urbanized (Population 200,000 and over)",3. No,"0,0",12948,11505,11611,11190,10783,Not SENIOR,Right side,"15,5","35,35",Not SPEED,"35,35",541093,0.1,"2. No,2. No",0,"0,0",9PM TO 12AM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","Toyota,BICYCLE","3. Making Left Turn,1. Going Straight Ahead","Camry,BICYCLE",19952013,5,5.Hampton Roads,5. Rain,Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,"N/A, Unknown, or Unstabilized",SOUTH CORWOOD AVE(L)/,Not UNBELTED,14,Female,C,2,BIKE,2.51,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408738,2.567,4,8/2/2013,8/2/2013,22. Bicycle,1730,C.Non-Visible Injury,2013,Left and Right sides,1,1,Virginia Beach,Urban,22. Bicycle,MAIN,3PM TO 6PM,134.Virginia Beach,"5,718",Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"East,South",,5,1,132185125,22,0,"PDO,C","1,2","1. No Improper Action,37. Other","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,3,542238,BOGGS AVE(B)/,0,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",I,I.Urban Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,132185125,C,0,0,36.83825328,36.83825328,0,0.06,Not LRTRUCK,2. Daylight,LOCATED,-76.11707278,-76.11707278,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,541279,541279.  IS00264W018A 13400013      13400013      13408738,38270,39034,44038,42608,43581,4,1,1.083,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,2.5,2.57,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",BONNEY ROAD,URB,UR,R-VA134UR08738EB,"Urbanized (Population 200,000 and over)",3. No,"0,0",13066,13161,13283,12800,13473,Not SENIOR,Left and Right sides,"20,10","35,35",Not SPEED,"35,35",542237,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","OLDSMOBILE,NA","1. Going Straight Ahead,1. Going Straight Ahead","INTRIGUE,BICYCLE",20002010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,28,Male,B,2,BIKE,,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,8/2/2013,8/2/2013,22. Bicycle,1020,B.Visiible Injury,2013,,0,1,Virginia Beach,Urban,22. Bicycle,MAIN,9AM TO 12PM,134.Virginia Beach,,Not Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"West,South",,5,1,132215193,50,0,"C,B","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20","8. Off Roadway, Location Unknown","0,0",,,,Not GUARDRAIL,Not HIT_RUN,"3,10",1,1. Not at Intersection,,C,0,0,36.83075632,36.83075632,,,Not LRTRUCK,2. Daylight,UNLOCATED,-75.97031586,-75.97031586,MAINLINE,,,,,,,,"22,10",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,2,,0,0,,,,,,,,,Not PED,,2,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,,,,1. Straight - Level,1. No Defects,"4. One-Way, Not Divided",1. Dry,1. Concrete,200 ATLANTIC AV,UNKWN,SC,U-VA134SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"10,10","25,25",Not SPEED,"25,25",,,"2. No,1. Yes",,"0,0",9AM TO 12PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,,"1,2","1. Passenger car,9. Bicycle","Toyota,GENESIS","1. Going Straight Ahead,1. Going Straight Ahead","Camry,GX7",2000,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),GUNN HALL DRIVE(R)/,Not UNBELTED,13,Female,B,2,BIKE,17.91,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408669,17.962,4,8/2/2013,8/2/2013,22. Bicycle,1340,B.Visiible Injury,2013,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,12PM TO 3PM,134.Virginia Beach,"3,369",Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"South,East",,5,1,132165025,18,0,"PDO,B","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","14. No Driver Distraction,14. No Driver Distraction","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,3. Totally Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,18,742544,EDISON ROAD(R)/,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"1,9",1,1. Not at Intersection,132165025,C,0,0,36.77764,36.77764,0,0.17,Not LRTRUCK,2. Daylight,LOCATED,-76.003925,-76.003925,MAINLINE,MAIN,0,0,Curbed Grass,40,16,Divided Roadway,"22,20",Not MOTORCYCLE,541475,541475. 13408669      13408669      13408688      13408688,64316,56978,57505,55417,55342,4,1,0.638,SEC_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,8. Non-Intersection,0,17.75,17.96,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",1800 BLK GENERAL BOOTH BLVD,URB,UR,R-VA134UR08669SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",30485,27394,27647,26643,27438,Not SENIOR,Left and Right sides,"40,2","45,45",Not SPEED,"45,45",742542,0,"2. No,1. Yes",0,"0,0",12PM TO 3PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",Hyundai,"1. Going Straight Ahead,15. Other","Elantra,BICYCLE",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),BLUEBIRD DR(L)/,Not UNBELTED,21,Male,B,2,BIKE,3.8,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13408723,3.8,3,8/2/2013,8/2/2013,22. Bicycle,1615,B.Visiible Injury,2013,Left and Right sides,0,1,Virginia Beach,Urban,22. Bicycle,MAIN,3PM TO 6PM,134.Virginia Beach,"1,003",Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"North,East",DISTRACTED,5,1,132155187,22,0,"C,B","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","11. Other,11. Other","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,4,542034,24TH ST(R)/,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,132155187,C,0,0,36.852044,36.852044,0,0.02,Not LRTRUCK,2. Daylight,LOCATED,-75.994563,-75.994563,MAINLINE,MAIN,0,0,Grass/Unprotected,14,3,Divided Roadway,"22,20",Not MOTORCYCLE,541060,541060.  US00058       US00058      13408723,39186,38419,39236,38307,39694,4,1,0.19,SEC_URBAN,,,,,,,,,0,0,56,0,2,,0,0,,,,,,,,,Not PED,,2,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,3.75,3.8,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",1100 BLUEBIRD DRIVE,URB,UR,R-VA134UR08723SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",21852,21532,21731,20942,24609,Not SENIOR,Left and Right sides,"5,2","25,25",Not SPEED,"25,35",542033,0,"2. No,1. Yes",0,"0,0",3PM TO 6PM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","DODGE,BICYCLE","2. Making Right Turn,1. Going Straight Ahead","CHALLENGER,BEACH CRUISER",20102005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
